,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
0,1309480286888103938,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
1,1309465702722662400,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
2,1309465208327413761,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
3,1309463277601271808,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
4,1309460934935687169,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
5,1309458412628041729,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
6,1309454761570324481,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
7,1309452381021769730,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
8,1309452175416987648,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
9,1309449556359286784,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
10,1309448616940109825,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
11,1309448615564378112,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
12,1309448528033386497,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
13,1309447414877745153,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
14,1309444272622575617,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
15,1309438435481006084,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
16,1309438333152645120,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
17,1309437230100942850,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
18,1309435969691676672,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
19,1309434870104494080,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
20,1309433732374429697,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
21,1309433502660726784,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
22,1309432378335559680,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
23,1309428334099660800,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
24,1309427698582851584,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
25,1309427089565679622,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
26,1309424850726014976,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
27,1309423408233545729,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
28,1309423088501751809,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
29,1309423005672628224,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
30,1309421865740443649,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
31,1309421797213908993,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
32,1309421783695622146,"RT @nutz_n_chops: TGIF!!
How do you intend to spend your weekend?? With a tray of small chops, or a jumbo sized pack of peanuts 🌝🌝
Send us…",2020-09-25,B001E4KFG0,0,1,,1
